# addr-close2.py 2022-06-16 16:55:54.580653
徐汇区康健路77弄,徐汇区桂江路77弄
浦东新区东海村胡家宅,浦东新区曹路镇东海村张家宅
浦东新区共一村包家宅,浦东新区合庆镇前哨村包家宅
浦东新区劳动村西孙家宅,浦东新区张江镇劳动村孙家宅
浦东新区劳动村郑家宅,浦东新区张江镇劳动村沈家宅
浦东新区华路村瞿家宅,浦东新区华路村蔡家宅,浦东新区川沙新镇太平村张家宅
浦东新区合庆镇前哨村包家宅,浦东新区共一村包家宅
浦东新区合庆镇永红村奚家宅,浦东新区小湾村奚家宅
浦东新区唐镇前进村金家宅,浦东新区唐镇前进村顾家宅
浦东新区唐镇新虹村瞿家宅,浦东新区新虹村瞿家宅
浦东新区唐镇虹三村沈家宅,浦东新区虹三村龚家宅
浦东新区小湾村奚家宅,浦东新区合庆镇永红村奚家宅
浦东新区川沙新镇太平村张家宅,浦东新区华路村瞿家宅,浦东新区华路村蔡家宅
浦东新区张江镇劳动村孙家宅,浦东新区劳动村西孙家宅
浦东新区张江镇劳动村沈家宅,浦东新区劳动村郑家宅
浦东新区新虹村瞿家宅,浦东新区唐镇新虹村瞿家宅
浦东新区曹路镇东海村张家宅,浦东新区东海村胡家宅
浦东新区曹路镇永丰村大徐家宅,浦东新区永丰村大徐家宅
浦东新区曹路镇迅建村蔡家宅,浦东新区迅建村葛家宅
浦东新区永丰村大徐家宅,浦东新区曹路镇永丰村大徐家宅
浦东新区永利村冯家宅,浦东新区永利村龚家宅
浦东新区祝桥镇红二村,浦东新区红二村
浦东新区红星村,浦东新区红星村姚家宅
浦东新区药师村,浦东新区药师村曹家宅
浦东新区虹三村龚家宅,浦东新区唐镇虹三村沈家宅
浦东新区迅建村葛家宅,浦东新区曹路镇迅建村蔡家宅
浦东新区高东镇龙桥村南杨家宅,浦东新区龙桥村南杨家宅
####
