地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误
复旦大学第二附属中学,121.4980327,31.29365392,,70,教育,wgs84,
上海市同济初级中学,121.506069,31.30437979,1,70,教育,wgs84,
复旦大学附属小学,121.5009624,31.29430965,,70,教育,wgs84,
上海市育鹰学校,121.5128523,31.29274108,1,70,教育,wgs84,
上海市杨浦区政立路第二小学,121.5030674,31.30945563,1,70,教育,wgs84,
上海理工大学附属小学,121.5355357,31.29388783,,70,教育,wgs84,
上海市杨浦区水丰路小学,121.5339969,31.2889038,1,70,教育,wgs84,
上海市杨浦区长白二村小学分校,121.5372746,31.30245978,1,70,教育,wgs84,
上海市杨浦区水丰路小学分校,121.5282801,31.292412,1,70,教育,wgs84,
上海市杨浦区内江路第二小学,121.5388575,31.28644295,1,70,教育,wgs84,
上海市杨浦区国和小学,121.5246958,31.32313589,1,70,教育,wgs84,
上海市鞍山实验中学,121.5363434,31.30776819,1,70,教育,wgs84,
上海市惠民中学,121.5211138,31.26079038,1,70,教育,wgs84,
上海理工大学附属初级中学,121.5400567,31.28484455,,70,教育,wgs84,
上海市包头中学,121.5335195,31.32466161,1,70,教育,wgs84,
上海市杨浦区打虎山路第一小学,121.5027768,31.27664047,1,70,教育,wgs84,
上海民办打一外国语小学,121.5115732,31.27880803,1,70,教育,wgs84,
上海市浦东新区曹路打一小学(浦东),121.6666562,31.29184849,1,70,教育,wgs84,
上海市杨浦区同济小学,121.5048251,31.2867386,1,70,教育,wgs84,
上海市杨浦区教师进修学院,121.504682,31.29807999,1,70,教育,wgs84,
上海市杨浦区教师进修学院附属幼儿园,121.5083771,31.28277785,1,70,教育,wgs84,
上海市杨浦区教师进修学院实验小学,121.5207642,31.27837524,1,70,教育,wgs84,
上海市杨浦区教师进修学院附属中学,121.5161327,31.27395533,1,70,教育,wgs84,
上海民办杨浦实验学校,121.5370616,31.32698572,,50,NoClass,wgs84,
上海市杨浦区控江二村小学,121.5237225,31.28918181,1,70,教育,wgs84,
上海市杨浦区凤城新村小学,121.5132081,31.28526733,1,70,教育,wgs84,
上海市杨浦区二联小学,121.5230511,31.28499753,1,70,教育,wgs84,
上海市杨浦区控江二村小学分校,121.5319504,31.2758112,1,70,教育,wgs84,
上海市杨浦区翔殷路小学,121.5331332,31.30927798,1,70,教育,wgs84,
上海市杨浦区六一小学,121.5171275,31.30735543,,50,NoClass,wgs84,
上海市杨浦区回民小学,121.5306463,31.303492,1,70,教育,wgs84,
